ngram,count
"['IF', 'op']",1
"['IF', 'zn']",5
"['THEN', 'ze']",1
"['IF', 'gh']",1
"['IF', 'gz']",2
"['IF', 'gg']",4
"['THEN', '14400']",1
"['IF', 'gk']",1
"['THEN', 'dq']",1
"['IF', 'ii']",2
"['THEN', '14430']",1
"['IF', 'dd']",2
"['PRINT', '""der gehilfe ist tot""']",1
"['THEN', '14258']",1
"['PRINT', '""jagt""']",1
"['GOSUB', '20300']",1
"['GOTO', '14267']",1
"['GOTO', '14270']",1
"['PRINT', '""du hast den gehilfen""']",1
"['GOSUB', '20200']",2
"['GOSUB', '45001']",1
"['THEN', 'ge']",1
"['GOSUB', '40600']",2
"['FOR', '=']",32
"['IF', 'ha']",1
"['THEN', '""mit schluessel""']",1
"['GOTO', '4000']",2
"['GOTO', '7000']",1
"['THEN', '10015']",1
"['GOTO', '10015']",1
"['GOTO', '=']",4
"['IF', 'du']",3
"['PRINT', '""getoetet""']",1
"['INT', '>']",1
"['THEN', '14100']",1
"['GOTO', '14240']",1
"['FOR', 'ij']",1
"['TO', 'ii']",1
"['GOTO', '13100']",1
"['GOTO', '13160']",1
"['IF', 'd3']",1
"['GOTO', '13200']",1
"['THEN', '13140']",1
"['GOTO', '13150']",1
"['THEN', '13200']",1
"['THEN', 'du']",2
"['IF', 'd2']",1
"['THEN', '""tisch""']",1
"['THEN', '3150']",1
"['THEN', '40300']",1
"['IF', 'lz']",1
"['THEN', '3200']",1
"['THEN', '""kamin""']",1
"['MID$', '4']",2
"['GOTO', '2100']",2
"['PRINT', '""{rvs_on}{red}{home}{down}{down}{down}{right}{right}{right}{right}{right}{right}{right}{right}{right}{CBM-G}""']",1
"['IF', 'ab']",1
"['GOSUB', '41500']",1
"['THEN', '3420']",1
"['IF', 'bb']",2
"['THEN', '13000']",3
"['IF', 'ks']",1
"['THEN', '""nimm kerze""']",2
"['LEFT$', 'vn$']",1
"['GOSUB', '21030']",1
"['LEFT$', 'AND']",1
"['THEN', '""stuhl""']",1
"['IF', 'gt']",2
"['IF', 'et']",1
"['GOSUB', '40500']",2
"['GOTO', 'vn$']",1
"['THEN', '1085']",1
"['GOTO', '3000']",4
"['THEN', '""o""']",1
"['IF', 'db']",1
"['THEN', 'db']",1
"['THEN', '""nimm streichholz""']",1
"['IF', 'yy']",4
"['THEN', 'lt']",1
"['THEN', 'zt']",1
"['THEN', 'et']",1
"['POKE', '36869']",35
"['PRINT', '""eingangshalle""']",1
"['GOTO', '5000']",2
"['GOSUB', '21000']",3
"['THEN', '2100']",1
"['IF', 'hb']",3
"['IF', 'es']",1
"['THEN', 'es']",1
"['IF', 'aa']",2
"['PRINT', '""speisekammer""']",1
"['THEN', '2140']",1
"['MID$', '""sieh""']",1
"['IF', 'lt']",1
"['THEN', '4220']",1
"['IF', 'kl']",2
"['GOTO', '3100']",1
"['POKE', '*']",2
"['TO', '100']",9
"['IF', 'sz']",1
"['IF', 'gj']",1
"['PRINT', '""{clr}{down}{down}das war gift""']",1
"['PRINT', '""{down}du bist tot""']",1
