ngram,count
"['=', 'v', ':']",8
"[':', 'll', 'u']",1
"['ll', 'u', ':']",1
"[':', 'mr', '=']",1
"['=', 'x', 'IF']",18
"[')', 'f', '(']",2
"['(', 'w', 'ld']",1
"['w', 'ld', ':']",1
"['=', 'tw', ':']",2
"['=', 'b1', ':']",13
"['=', 'v', '+']",1
"[':', 'u', '*']",1
"['*', 'dw', '+']",4
"['-', 'v', '=']",1
"[')', 'd', '/']",3
"['*', 'd', '-']",1
"['ec', 'op', 'AND']",1
"['=', 'm', 'IF']",2
"[':', 'v', '*']",1
"['/', 'n', '(']",1
"['INT', 'x', '*']",1
"['-', 'n', 'IF']",1
"[')', 'lm', '+']",1
"['+', 'op', '(']",1
"['=', 'n', ':']",6
"[')', 'u', '(']",19
"[':', 'll', '+']",1
"['-', 'dw', '+']",1
"['=', 'bc', ':']",2
"[':', 'll', '*']",1
"['+', 'a', 'POKE']",17
"[':', 'll', 'STEP']",2
"['STEP', 'co', 'll']",1
"['co', 'll', 'v']",1
"['ll', 'v', '-']",1
"['-', 'bc', 'TO']",1
"['TO', 'll', '+']",2
"['+', 'u', '-']",3
"['-', 'tc', '=']",1
"['=', 'a', 'FOR']",5
"['+', 'b', '=']",9
"['+', 'bc', 'POKE']",2
"['co', 'vp', '+']",1
"['+', 'tc', 'POKE']",3
"[':', 'bw', ',']",1
"[',', 'bc', 'POKE']",2
"[':', 'tw', ',']",1
"[',', 'tc', ',']",1
"['=', 'co', ':']",1
"['=', 'y', 'IF']",1
"['=', 'dc', 'OR']",1
"[')', 'u', 'ABS']",1
"[')', 'll', '+']",1
"['-', 'tc', '(']",1
"['=', 'z', '(']",1
"['+', 'll', '=']",1
"[':', 'ml', '=']",2
"['+', 'b', 'POKE']",25
"[':', 'sw', ',']",1
"[',', 'b', 'POKE']",32
"['=', 't1', ':']",2
"[':', 't1', ',']",1
"[',', 'tc', 'POKE']",1
"[':', 'v', '+']",1
"['+', 'bc', '=']",2
"[':', 'u', '+']",2
"['+', 'tc', '=']",2
"['THEN', 'll', '-']",1
"['-', 'bc', '=']",1
"['ec', 'np', 'IF']",1
"['=', 'np', 'IF']",1
"[':', 'np', '=']",3
"['""le""', 'ox', '""sauerstoff =""']",1
"['=', 'q', ':']",6
"[':', 'ol', '=']",3
"['(', 'w', 'op']",1
"['w', 'op', '=']",1
"[':', 'nm', '=']",1
"['/', 'nm', '(']",1
"['=', 'mr', 'THEN']",1
"['>', 'mr', 'IF']",1
"['=', 'ml', 'THEN']",1
"['<', 'ml', 'IF']",1
"['+', 'm', '=']",4
"['=', 'mr', ':']",2
"['=', 'nm', 'THEN']",3
"['>', 'nm', 'IF']",1
"['THEN', 'm', '=']",1
"['=', 'nm', 'IF']",1
"['=', 'dc', 'IF']",1
"['THEN', 'cd', '<']",1
"['<', 'dc', 'IF']",1
"['dc', 'dc', ':']",1
"[')', 'op', '(']",1
"['(', 'm', 'THEN']",2
"['32', 'r', 'IF']",1
"['(', 'm', '(']",3
"['+', 'op', '=']",1
"['IF', 'tt', '=']",4
"['IF', 'p', '=']",7
"['THEN', 'tt', '=']",3
"['-', 'ol', ':']",1
"['IF', 'ox', '<']",2
"['=', 't', '+']",5
"['(', 'm', 'TO']",2
"['=', 'tc', 'FOR']",1
"['190', 'll', '*']",1
"['+', 'tr', '<>']",1
"['(', 'm', 'IF']",2
"['POKE', 'tc', ',']",3
"[':', 'w2', ',']",1
"['=', 'bc', 'FOR']",1
