ngram,count
"['PRINT', '""{cyan}""', ';', ':', 'GOSUB', '900', ':']",2
"[':', 'GOSUB', '900', ':', 'PRINT', '""-{red}""', ':']",2
"[':', 'PRINT', '""-{red}""', ':', 'p1', '=', 'PEEK']",2
"['a', '+', '48', ':', 'IF', 'a', '>']",2
"['CHR$', '(', 'a', ')', ';', ':', 'NEXT']",2
"['(', 'a', ')', ';', ':', 'NEXT', ':']",2
"['a', ')', ';', ':', 'NEXT', ':', 'RETURN']",2
"['LEFT$', '(', 'a$', ',', '1', ')', '=']",1
"['a$', ',', '1', ')', '=', '""$""', 'THEN']",1
"['pc', '=', 'VAL', '(', 'a$', ')', ':']",1
"['pf', '=', '0', ':', 'IF', 'a$', '=']",1
"['16', '+', 'a', ':', 'NEXT', ':', 'RETURN']",1
"['2', 'TO', 'LEN', '(', 'a$', ')', '-']",1
"['a', '=', 'ASC', '(', 'MID$', '(', 'a$']",1
"['ASC', '(', 'MID$', '(', 'a$', ',', 'i']",3
"['MID$', '(', 'a$', ',', 'i', ',', '1']",4
"['a$', ',', 'i', ',', '1', ')', ')']",3
"['i', ',', '1', ')', ')', '-', '48']",2
"[',', '1', ')', ')', '-', '48', ':']",2
"[')', '-', '48', ':', 'IF', 'a', '9']",1
"['dz', '=', 'p1', ':', 'GOSUB', '950', ':']",3
"[':', 'GOSUB', '950', ':', 'PRINT', '"" ""', ';']",4
"[':', 'PRINT', '"" ""', ';', ':', 'p2', '=']",3
"['PRINT', '"" ""', ';', ':', 'p2', '=', 'PEEK']",3
"['p2', '=', 'PEEK', '(', 'pc', '+', '1']",2
"['pc', '+', '1', ')', ':', 'dz', '=']",2
"['+', '1', ')', ':', 'dz', '=', 'p2']",2
"['dz', '=', 'p2', ':', 'GOSUB', '950', ':']",2
"[':', 'IF', 'f%', '(', 'p1', ')', '=']",2
"['f%', '(', 'p1', ')', '=', '9', 'THEN']",4
"['f2$', '(', 'f%', '(', 'p1', ')', ')']",2
"['f%', '(', 'p1', ')', ')', ':', 'pc']",2
"['(', 'p1', ')', ')', ':', 'pc', '=']",2
"['p1', ')', ')', ':', 'pc', '=', 'pc']",2
"[')', ')', ';', ':', 'dz', '=', 'p3']",1
"['256', '+', 'p2', ':', 'GOSUB', '900', ':']",1
"[':', 'GOSUB', '900', ':', 'PRINT', 'f2$', '(']",1
"[':', 'PRINT', 'f2$', '(', 'f%', '(', 'p1']",1
"['pc', '+', '2', ')', ':', 'dz', '=']",1
"['+', '2', ')', ':', 'dz', '=', 'p3']",1
"['dz', '=', 'p3', ':', 'GOSUB', '950', ':']",1
"[':', 'GOSUB', '950', ':', 'PRINT', '""{green}""', ';']",2
"[':', 'PRINT', '""{green}""', ';', 'TAB(', '10', ')']",2
"[';', 'TAB(', '10', ')', ';', 'm$', '(']",4
"['TAB(', '10', ')', ';', 'm$', '(', 'p1']",4
"[')', ';', 'm$', '(', 'p1', ')', ';']",2
"[')', ';', 'm$', '(', 'p1', ')', ':']",1
"['m$', '(', 'p1', ')', ':', 'pc', '=']",1
"['(', 'p1', ')', ':', 'pc', '=', 'pc']",1
"['=', 'pc', '-', '(', '255', '-', 'p2']",2
"['"" ""', ';', 'f1$', '(', 'f%', '(', 'p1']",2
"['f1$', '(', 'f%', '(', 'p1', ')', ')']",2
"['pc', '1', ')', ':', 'IF', 'p2', '<']",1
"['0', ',', '5', ',', '5', ',', '6']",1
"['5', ',', '5', ',', '6', ',', '0']",2
"['5', ',', '6', ',', '0', ',', '0']",2
"['6', ',', '0', ',', '0', ',', '8']",2
"['0', ',', '0', ',', '8', ',', '0']",10
"['0', ',', '0', ',', '0', ',', '7']",5
"['0', ',', '0', ',', '7', ',', '0']",1
"['0', ',', '7', ',', '0', ',', '0']",2
"['0', ',', '4', ',', '4', ',', '4']",5
"['4', ',', '4', ',', '0', ',', '0']",8
"['4', ',', '0', ',', '0', ',', '0']",4
"['0', ',', '0', ',', '0', ',', '0']",175
"['0', ',', '0', ',', '0', ',', '3']",2
"['0', ',', '0', ',', '3', ',', '3']",4
"['3', ',', '3', ',', '3', ',', '0']",5
